ENSMUSG00000090025.1,501
ENSMUSG00000064842.1,110
ENSMUSG00000051951.5,465598
ENSMUSG00000089699.1,46967
ENSMUSG00000088333.2,58
ENSMUSG00000025900.5,16808
ENSMUSG00000025902.8,5486
ENSMUSG00000096126.1,107
ENSMUSG00000098104.1,1470
ENSMUSG00000088000.1,103
ENSMUSG00000033845.8,12534
ENSMUSG00000025903.9,78983
ENSMUSG00000033813.10,40096
ENSMUSG00000062588.3,1468
ENSMUSG00000002459.12,160710
ENSMUSG00000091305.1,272
ENSMUSG00000085623.1,5964
ENSMUSG00000091665.1,1588
ENSMUSG00000033793.7,79377
ENSMUSG00000025905.8,17639
ENSMUSG00000093015.1,101
ENSMUSG00000033774.4,3692
ENSMUSG00000025907.9,70452
ENSMUSG00000090031.1,1298
ENSMUSG00000073741.1,681
ENSMUSG00000087247.2,35401
ENSMUSG00000033740.12,373710
ENSMUSG00000051285.12,84709
ENSMUSG00000098201.1,388
ENSMUSG00000048538.7,1299
ENSMUSG00000077244.1,130
ENSMUSG00000097797.1,48396
ENSMUSG00000025909.11,938404
ENSMUSG00000086235.1,400
ENSMUSG00000093970.1,110
ENSMUSG00000084353.1,240
ENSMUSG00000076135.1,110
ENSMUSG00000086195.1,340
ENSMUSG00000066693.2,626
ENSMUSG00000065625.1,103
ENSMUSG00000061024.8,2048
ENSMUSG00000025911.9,32726
ENSMUSG00000079671.3,70344
ENSMUSG00000081441.3,1102
ENSMUSG00000067879.3,25945
ENSMUSG00000099827.1,1328
ENSMUSG00000025912.11,32795
ENSMUSG00000045210.8,29761
ENSMUSG00000097893.2,44275
ENSMUSG00000025915.9,102739
ENSMUSG00000046334.4,357
ENSMUSG00000088916.1,105
ENSMUSG00000046101.11,33448
ENSMUSG00000098234.2,2160
ENSMUSG00000093178.1,87
ENSMUSG00000099032.2,7770
ENSMUSG00000025916.5,40513
ENSMUSG00000087199.1,9980
ENSMUSG00000095780.1,104
ENSMUSG00000025917.4,13568
ENSMUSG00000056763.11,98782
ENSMUSG00000067851.6,95100
ENSMUSG00000088153.1,240
ENSMUSG00000042501.7,395226
